name,elapsedTime,taskStatus,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,distance
huihuio,0.02,,-0.7016,0.6567509,-1.41273,0,0,0,0,0,0,0
huihuio,1.036036,,-0.9206871,1.654915,-0.8289168,0,0,0,-0.7672604,1.206515,-0.9042584,0
huihuio,2.052315,,-0.7450507,1.662298,-0.389867,0,0,0,-0.5339539,1.266971,-0.3005401,0
huihuio,3.085921,,-0.41177,1.657007,-0.113055,0,0,0,-0.111873,1.3158,0.1733228,0
huihuio,4.104431,,-0.3124231,1.694629,0.09376779,0,0,0,0.08071315,1.650959,0.2841717,0
huihuio,5.124654,,-0.4328877,1.691214,-0.09156321,0,0,0,0.07134902,1.669492,0.1425002,0
huihuio,6.140972,,-0.375687,1.694932,-0.1260673,0,0,0,0.03186882,1.674777,0.07950473,0
huihuio,7.161769,,-0.2293545,1.67604,-0.0246706,0,0,0,0.003308475,1.234407,-0.2044768,0
huihuio,8.17898,,-0.4009604,1.679165,-0.09271066,0,0,0,-0.1476116,1.507102,-0.3215344,0
huihuio,9.198796,,-0.5272911,1.689081,-0.01706857,0,0,0,-0.06471485,1.706173,0.1601111,0
huihuio,10.21739,,-0.2996913,1.69128,0.1406572,0,0,0,-0.07381958,1.637281,0.3373587,0
huihuio,11.23513,,-0.2205651,1.709442,0.1206692,0,0,0,-0.07294929,1.577628,0.3677752,0
huihuio,12.25698,,-0.2503278,1.703905,0.1419603,0,0,0,-0.07682326,1.555936,0.325137,0
huihuio,13.27379,,-0.3015048,1.694418,0.1729982,0,0,0,-0.1236684,1.533967,0.3484509,0
huihuio,14.29318,,-0.295102,1.698318,0.1570971,0,0,0,-0.09133983,1.531961,0.3380089,0
huihuio,15.29968,,-0.3214552,1.679339,0.1931328,0,0,0,-0.118465,1.211724,0.2573708,0
huihuio,16.31682,,-0.4508708,1.706218,-0.0863881,0,0,0,-0.2827969,1.205685,0.0547471,0
huihuio,17.34014,,-0.960346,1.693459,-0.4434011,0,0,0,-0.470719,1.207492,-0.1581032,0
huihuio,18.35763,,-1.370259,1.725323,-0.688386,0,0,0,-0.9450617,1.20503,-0.7720424,0
huihuio,19.39231,,-1.647245,0.9854943,-1.78356,0,0,0,-1.261423,0.9883548,-1.676806,0
huihuio,20.41047,,-1.741197,0.8480374,-1.847048,0,0,0,-1.282288,0.823261,-1.856974,0
huihuio,21.43126,,-1.743182,0.8156599,-1.803456,0,0,0,-1.323627,0.8482445,-1.799432,0
